"Scale","BobExp2","SunInf","So","IE","But","Distance","Boundedness","Cloze","Gramma","Freq","LSA"
"adequate",0.32,0.551176471,3.45,3.65,4.263157895,3.52,0,57,"O",-1.52,0.27
"allowed",0.82,0.619411765,1.825,2.75,1.947368421,5.35,1,47,"O",-0.85,0.02
"attractive",0.21,0.231176471,2.075,5.05,3.184210526,5.78,0,72,"O",0.37,0.07
"believe",0.61,0.314705882,2.325,3.525,3.789473684,5.04,1,67,"O",-0.7,0.46
"big",0.21,0.314705882,2.4,5.175,1.973684211,5.43,0,37,"O",1.13,0.21
"cheap",0.93,0.842941176,2.85,2.8,2.526315789,5.52,1,0,"O",-0.66,0.19
"content",0.04,0.20375,2.275,5.375,3.789473684,4.52,0,50,"O",-0.85,0.13
"cool",0.46,0.301111111,4.025,4.65,2.736842105,4.3,0,40,"O",-0.21,0.61
"dark",0.29,0.272222222,1.775,5,2.473684211,4.04,1,27,"O",-0.49,0.4
"difficult",0.96,0.473125,2.175,3.55,2.315789474,6.22,1,10,"O",0.46,0.6
"dislike",0.18,0.287777778,1.775,4.225,1.648648649,5.87,0,90,"O",0.46,0.16
"few",0.54,0.641764706,5.2,2.15,1.578947368,5.35,1,30,"C",0.75,0.47
"funny",0.29,0.21875,1.975,5.175,2.052631579,5.04,0,33,"O",1.17,0.07
"good",0.39,0.511875,2.175,4.225,2.684210526,6.09,1,23,"O",1,0.42
"good_E",0.32,0.362352941,2.95,4.525,2.342105263,5.48,0,57,"O",1.34,0.46
"hard",0.71,0.530588235,2,3.75,2.378378378,5.26,1,10,"O",2.87,0.08
"hungry",0.25,0.215294118,1.825,4.775,2.315789474,5.74,0,40,"O",0.71,0.52
"intelligent",0.07,0.14,2.275,4.75,2.789473684,4.74,0,3,"O",-0.12,0.27
"like",0.25,0.195555556,1.95,3.9,1.837837838,5.74,0,57,"O",0.23,0.37
"low",0.79,0.584444444,2.725,4.375,2.078947368,4.87,1,60,"O",2.29,0.16
"may",0.89,0.597058824,2.6,2.9,1.333333333,5.41,1,80,"C",0.68,0.51
"may_h",0.71,0.64,3.625,2.175,2.459459459,5.26,1,80,"C",-1.22,0.64
"memorable",0.54,0.378888889,2.175,4.275,2.605263158,4.83,1,60,"O",0.56,0.29
"old",0.36,0.254117647,1.925,5.275,1.789473684,5.39,0,33,"O",1.08,0.24
"palatable",0.61,0.525,1.75,3.525,2.368421053,5.52,0,47,"O",-0.89,0.32
"participate",0.18,0.418235294,1.325,2.4,1.789473684,6.35,1,37,"O",-0.62,0.21
"possible",0.93,0.7175,2.375,2.575,1.736842105,5.65,1,31,"O",0.1,0.42
"pretty",0.11,0.227647059,2.95,4.975,2.868421053,5.04,0,50,"O",-0.46,0.41
"rare",0.79,0.666470588,3.675,2.7,2.324324324,5.83,1,34,"O",1.05,0.29
"scarce",0.57,0.362941176,3.25,4.125,2.894736842,4.78,1,17,"O",0.29,0.18
"silly",0.14,0.195294118,2.625,5.25,4.236842105,4.17,0,40,"O",0.01,0.43
"small",0.25,0.286470588,2.7,5.425,2.578947368,4.22,0,27,"O",0.8,0.54
"snug",0.21,0.204117647,3.125,5.55,3.026315789,2.86,0,87,"O",-1.05,0.3
"some",0.89,0.855882353,3.95,2.25,1.868421053,5.83,1,87,"C",-0.12,0.79
"sometimes",0.86,0.783125,4.1,2.7,1.789473684,5.7,1,90,"O",-1.05,0.6
"special",0.14,0.212222222,2.375,5.05,4.473684211,3.48,1,30,"O",0.54,0.32
"start",0.21,0.323125,1.125,1.7,1.684210526,4.95,1,50,"O",0.7,0.4
"tired",0.14,0.311875,1.75,5.275,2.083333333,5.13,0,41,"O",0.92,0.45
"try",0.39,0.578888889,2.375,2.825,4.289473684,5.82,1,57,"O",1.23,0.35
"ugly",0.18,0.166111111,1.975,5.525,2.263157895,5.27,0,31,"O",0.86,0.48
"unsettling",0.25,0.221764706,2.075,4.775,3.184210526,5.65,0,37,"O",-0.48,NA
"warm",0.64,0.507222222,4.5,4.075,3.027027027,5,0,38,"O",-0.28,0.51
"wary",0.14,0.211875,3.25,5,3.684210526,4.39,0,37,"O",-0.48,0.06
